,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,21222.189453,21244.349609,21133.820313,21140.480469,4000.0,147.03570031129118,147.2763410003307,146.14369726725312,146.459015,5904780.0,643.6875325317585,645.4220083316189,638.8695120786765,640.941284,1123109.0,155.28535714872328,156.01150106067473,154.02934978564176,154.833847,3102869.0,371.7858442962477,373.0170254203101,368.34012464595696,369.225952,1364748.0,1692.3861943537418,1698.9836550081536,1679.526018428807,1686.6492920000003,214453.0
2014-01-02,6301.25,6358.299805,6211.299805,6221.149902,158100.0,21179.910156,21331.320313,20846.669922,20888.330078,9300.0,146.52956228023098,149.85695920728764,143.73323234409708,144.596191,19451900.0,640.7968472526635,650.1919889980974,629.7635666652874,633.0880129999999,1807248.0,154.61506481113827,157.69727457695615,150.94091442055313,151.71670500000002,11321514.0,369.2259380584673,370.4571191360418,363.5637044332323,366.666016,3015090.0,1681.8686080016703,1735.2218488988021,1681.8686080016703,1690.856445,1565710.0
2014-01-03,6194.549805,6221.700195,6171.25,6211.149902,139000.0,20819.580078,20885.179688,20731.330078,20851.330078,9300.0,143.30173272137577,144.04853556680277,141.9741039627105,142.691849,13759590.0,628.2698981910384,641.7603561276558,626.3426899143788,638.965881,1628296.0,150.64458791607362,151.63216555087592,147.40022593367257,150.475464,15567503.0,362.3822840782756,362.3822840782756,354.50450858105637,357.162964,5004050.0,1688.5615764602896,1729.3414132448358,1675.4145086933988,1719.7320559999998,583504.0
2014-01-06,6220.850098,6224.700195,6170.25,6191.450195,118300.0,20913.789063,20913.789063,20721.980469,20787.300781,7600.0,142.87856184230688,143.05280746986887,139.56776464431616,140.078079,13907830.0,638.8696169602003,638.8696169602003,633.0879914673478,637.616943,1490855.0,150.36218345571086,150.78576902022414,145.99681034020705,146.80751,14802266.0,361.8896219814273,364.84364749229536,358.63996569810564,361.348175,5490078.0,1725.851668477475,1739.620258752553,1713.9476414936453,1728.433228,549379.0
2014-01-07,6203.899902,6221.5,6144.75,6162.25,138600.0,20845.769531,20890.480469,20637.179688,20693.240234,8100.0,140.47220790221022,141.22730434243422,137.32737532699758,137.858429,17352910.0,642.8203129829402,646.530223694308,629.522587118053,640.2186280000001,1974230.0,147.40720110214724,149.40330880037786,144.41730097264403,148.105408,18566515.0,361.39694837023177,364.3509738232226,358.1970758589089,359.52578700000004,4020899.0,1757.4045309960718,1772.9419758430174,1740.2894149555177,1764.8146969999998,1614578.0
2014-01-08,6178.049805,6192.100098,6160.350098,6174.600098,146900.0,20767.419922,20786.410156,20688.179688,20729.380859,8000.0,138.09491237544552,139.2316967291751,136.995466130504,137.505768,14248790.0,640.989553120834,642.6758605437531,635.9787995009092,640.507751,1162370.0,148.66941972024082,150.05886078528118,147.16050068783883,148.712082,18955475.0,359.52577305218927,365.9275233478266,358.9843261023758,364.597809,5455728.0,1768.8782722176873,1778.4397763918369,1746.9346669893841,1756.926392,1398622.0
2014-01-09,6181.700195,6188.049805,6148.25,6168.350098,150100.0,20755.730469,20778.130859,20652.689453,20713.369141,9000.0,137.16140658704677,137.97042736467924,135.25292721070684,136.066101,14791100.0,639.062251025129,641.8084995850996,633.1842313222368,638.82135,944368.0,150.1930452388677,150.30552632751053,147.01229953869645,148.22563200000002,19238686.0,366.5177264493938,366.71479305306394,359.4282474697581,362.33252000000005,3603790.0,1777.2925893248625,1777.483772572743,1722.122635890886,1732.3535160000001,947521.0
2014-01-10,6178.850098,6239.100098,6139.600098,6171.450195,159900.0,20760.720703,20971.230469,20625.169922,20758.490234,10400.0,136.04536591853392,137.41034514080525,132.76361368325578,133.43988000000002,20473070.0,638.821368842543,650.1437173575619,632.4133782586078,637.9541019999999,1537627.0,147.73147450365886,148.75396105877195,143.68339770085836,144.508835,21835286.0,364.35096740092115,364.94216721547383,359.91991387245236,361.39694199999997,3100756.0,1731.6841232716174,1734.9829122492547,1690.4740602482452,1715.429565,670378.0
2014-01-13,6189.549805,6288.200195,6189.549805,6272.75,135000.0,20850.539063,21169.080078,20850.539063,21134.210938,7900.0,133.60582359219242,136.5058752763925,133.60582359219242,136.186417,15564850.0,636.0750702050044,652.3118346669635,632.9915832074944,648.361023,1188145.0,145.2986037022429,149.67096126914709,145.2986037022429,148.796646,17981914.0,366.96062525182174,373.65697301606576,366.0747979752868,370.40731800000003,6706639.0,1721.0708668068994,1735.1740864099004,1687.6055999523207,1704.577271,559984.0
2014-01-14,6260.25,6280.350098,6234.149902,6241.850098,110200.0,21115.0,21154.759766,21009.050781,21032.880859,5600.0,135.66781542857143,136.829492049936,134.70113619126516,135.045486,10197000.0,644.6994022344481,651.3964632348024,643.9766990577823,647.8311160000001,894280.0,148.387774251481,149.65696907666253,145.70741648945395,146.193848,16934159.0,369.37322131320565,369.7673853776889,362.4808088853207,366.123596,3272371.0,1704.8163533366749,1713.2305246464696,1681.9643332803998,1695.589478,530939.0
2014-01-15,6265.950195,6325.200195,6265.299805,6320.899902,145900.0,21091.460938,21302.730469,21091.460938,21289.490234,9400.0,135.41888255772196,137.5762962442147,135.41888255772196,136.140793,13624980.0,648.5055625715476,657.8525339519499,645.2292854885212,655.780762,1156960.0,147.40022057819098,150.7570635510381,147.1038654526028,149.283066,18898968.0,368.29035272668705,372.37702485956555,367.0103912177307,371.53997799999996,4846708.0,1711.509285515373,1727.7638429755748,1689.613417518432,1721.166382,612338.0
2014-01-16,6341.350098,6346.5,6299.850098,6318.899902,153400.0,21366.910156,21379.289063,21199.650391,21265.179688,13400.0,136.4270776611265,137.05771323396164,135.45624522609816,135.76741,7241970.0,659.4907139677276,660.068853340504,645.9520291900063,648.553772,1125294.0,150.43277167348745,150.43277167348745,147.97118430998913,149.360626,8986742.0,373.2140896904911,373.2140896904911,361.1998879472659,364.105133,7788351.0,1724.0347154484207,1731.3971431230837,1706.7284166363002,1711.3657230000001,429527.0
2014-01-17,6306.25,6327.100098,6246.350098,6261.649902,167700.0,21236.650391,21270.109375,21015.609375,21063.619141,12000.0,135.6304798522958,136.45609942740452,134.1742248134125,134.551773,11207380.0,650.432732481203,650.432732481203,635.0632363504357,640.796692,10843714.0,148.5848484372958,149.78422464537053,145.43282037730035,145.926224,9672228.0,361.88963459928124,368.19184991930047,361.44672090850395,364.056396,5000974.0,1700.226727424377,1729.4850256557693,1688.8486304770945,1697.3582760000002,310359.0
2014-01-20,6261.75,6307.450195,6243.350098,6303.950195,122100.0,21083.529297,21221.369141,21001.130859,21205.050781,6000.0,134.5517685342591,136.5722622269982,134.14517500153428,136.236206,9468650.0,643.783985123491,652.0710164768427,642.1459041290402,645.663025,1400092.0,145.91923536150261,147.82302165786763,145.00224619688686,147.259018,10617040.0,365.38511017377056,370.998593625065,364.84366217525695,369.177185,3246923.0,1696.2108999574482,1718.5369900391536,1684.7370945462367,1700.226685,340046.0
2014-01-21,6320.149902,6330.299805,6297.899902,6313.799805,141700.0,21237.960938,21302.519531,21189.199219,21251.119141,9400.0,137.23611890393227,138.79609587521207,136.59719054587296,137.70078999999998,12351890.0,648.4573579279526,654.0944185019287,645.6147144131833,651.492676,1562981.0,148.52899962370046,152.33735280026957,147.93628936406196,152.061951,14897790.0,369.2746759647089,381.8801075673849,366.51771725432303,378.925079,5781491.0,1703.8599141935526,1733.2136829234103,1703.8599141935526,1722.887329,541958.0
2014-01-22,6309.049805,6349.950195,6287.450195,6338.950195,137500.0,21251.650391,21377.910156,21168.429688,21337.669922,13400.0,137.2443921291079,137.57215564685364,135.68856840131454,136.651108,9821920.0,650.9146773112573,659.7798480621673,650.0956368171605,652.456421,1758334.0,152.36527568845756,153.8889315950521,150.8136944222335,153.458374,12788578.0,375.626684324302,381.5845178272753,374.24818950173074,380.206024,5654756.0,1726.329607429217,1739.23763827956,1716.2900278789502,1728.5765379999998,424767.0
2014-01-23,6325.950195,6355.600098,6316.399902,6345.649902,120100.0,21319.689453,21409.660156,21264.710938,21373.660156,6500.0,135.9997440100901,137.991206008691,135.76326791207578,137.601212,9241310.0,650.4328241721854,656.3107865678336,648.2647147582782,654.769043,1370685.0,153.88893359277793,153.88893359277793,151.22254425532043,152.259781,10274170.0,379.3689963716346,383.0615663829686,374.8881907544885,377.74368300000003,3790226.0,1717.3417762051672,1740.0982024911434,1710.0272014615205,1715.1427,493794.0
2014-01-24,6301.649902,6331.450195,6263.899902,6266.75,160300.0,21289.150391,21333.660156,21123.990234,21133.560547,10800.0,136.82951836239258,138.14886613217422,134.25723036426353,134.522751,16616560.0,645.6147747924641,650.3846268560462,639.5440802643817,648.891052,2210725.0,150.0945333612365,151.4909470682702,148.47235296300687,149.2621,10283620.0,373.2140627942203,376.2178707952088,363.1695256288197,364.745087,3620343.0,1706.6329763306742,1725.755985500746,1691.669198707482,1696.449951,377713.0
2014-01-27,6186.299805,6188.549805,6130.25,6135.850098,190400.0,20899.029297,20899.029297,20688.029297,20707.449219,10100.0,132.58937039139136,133.09553255467603,131.35715796472698,132.307251,15688040.0,640.7004350146625,640.7004350146625,622.1028283022827,625.571838,4265112.0,146.52590513248762,146.58952074024074,142.07519504280586,142.43516499999998,27904404.0,357.4585704124983,357.4585704124983,340.2747713916106,342.933197,9238426.0,1678.0439872882835,1678.0439872882835,1615.8942099813098,1627.654907,923081.0
