,^NSEI,^BSESN,SBIN.NS,HDFCBANK.NS,ICICIBANK.NS,TATAMOTORS.NS,MARUTI.NS
,Close,Close,Close,Close,Close,Close,Close
2009-01-01,,,,,,,
2009-01-02,,,,,,,
2009-01-05,,,,,,,
2009-01-06,,,,,,,
2009-01-07,,,,,,,
2009-01-08,,,,,,,
2009-01-09,,,,,,,
2009-01-12,,,,,,,
2009-01-13,,,,,,,
2009-01-14,,,,,,,
2009-01-15,,,,,,,
2009-01-16,,,,,,,
2009-01-19,,,,,,,
2009-01-20,,,,,,,
2009-01-21,,,,,,,
2009-01-22,,,,,,,
2009-01-23,,,,,,,
2009-01-26,,,,,,,
2009-01-27,,,,,,,
2009-01-28,2850.0375,9333.190380999999,40.917735150000006,165.00472945000004,38.375277749999995,23.0756175,519.1031508499999
2009-01-29,2838.89749755,9297.0934083,40.51453060000001,164.21375655000003,38.1014004,22.89887125,519.1054808499999
2009-01-30,2830.3,9270.39443365,40.201032850000004,163.44122850000002,37.85506785,22.704450450000003,520.2184874499999
2009-02-02,2812.55999755,9209.94946295,39.74166395000001,162.10807265000003,37.3409048,22.448903400000003,520.68185105
2009-02-03,2796.1149901999997,9150.617968800001,39.34201315000001,160.37342375000003,36.7521696,22.056742200000002,521.7226744499999
2009-02-04,2790.24749755,9131.3664551,39.0936937,159.31479035000004,36.402155500000006,21.771733750000003,523.4387541499998
2009-02-05,2783.2300048999996,9106.5664551,38.84182105000001,158.24243090000004,36.0559473,21.454688400000002,523.9929289499999
2009-02-06,2781.7350097999997,9101.285986350002,38.66414065000001,157.22068715000006,35.834247950000005,21.24664225,523.6133909999998
2009-02-09,2789.075,9124.977978500003,38.644465950000004,156.49791720000005,35.7910261,21.100090950000002,524.3515257499998
2009-02-10,2798.5525024499993,9153.783447250002,38.625744950000005,156.13889240000003,35.80557955000001,20.975631800000002,525.3248289999999
2009-02-11,2803.0724975499998,9166.185937500002,38.559872750000004,155.76957095000006,35.77915535000001,20.826497250000003,527.0269438999998
2009-02-12,2810.8900024499994,9187.1404297,38.58058770000001,155.84720845000004,35.83626020000001,20.720814200000003,528.1399504999997
2009-02-13,2816.8850097999994,9202.697949200001,38.63562540000001,155.90383005000004,35.88396015000001,20.608871250000004,529.9631529999998
2009-02-16,2817.0000122499996,9201.491943300001,38.61907095000001,155.67091305000002,35.867835250000006,20.506872800000004,532.2078002499998
2009-02-17,2815.6950073499993,9198.214453050003,38.594629450000006,155.39510055000002,35.82035890000001,20.396772150000007,534.2102874499998
2009-02-18,2819.1950073499993,9210.014941350002,38.57677475000001,155.28314680000003,35.82103125000001,20.348166000000006,537.8031219499998
2009-02-19,2822.9725097999994,9221.454443300001,38.521997600000006,155.14631210000002,35.746907500000006,20.360317450000007,543.0375350999998
2009-02-20,2825.8675049,9229.897460900002,38.526418050000004,155.09526915,35.62150160000001,20.350741400000008,548.3604262999999
2009-02-23,2828.7625,9238.3404785,38.5308385,155.0442262,35.49609570000001,20.341165350000004,553.6833174999999
2009-02-24,2826.8899902,9229.2394531,38.427090750000005,154.7443948,35.29387830000001,20.280407700000005,558.5055876999999
2009-02-25,2822.5399902,9211.493945250002,38.295607100000005,154.33732695,34.991785250000014,20.232173900000006,565.1813216499999
2009-02-26,2820.6249877499995,9197.422949200001,38.1635165,153.91996475000002,34.609969450000015,20.216706350000006,571.9944396499999
2009-02-27,2815.0674803999996,9170.791455100001,37.94561925000001,153.61026550000003,34.21270370000002,20.21412730000001,577.0705168999999
2009-03-02,2810.4649901999996,9147.81044925,37.770019000000005,153.24137360000003,33.85126705000002,20.227384100000005,582.0813933999999
2009-03-03,2802.3899902,9111.709960950002,37.5655562,152.66916365000003,33.41951235000002,20.29108555000001,586.1562286
2009-03-04,2794.4974853,9073.941992200002,37.3231309,152.26724560000002,32.95013520000002,20.347425500000007,589.9423309
2009-03-05,2784.3299804000003,9029.293994150003,37.0450824,151.55648585000003,32.410442350000025,20.40818335000001,594.18946835
2009-03-06,2773.1824705999998,8980.541992200004,36.73739175,150.72776805000007,31.79259560000002,20.41665035000001,597.54014585
2009-03-09,2755.8449706,8909.367504900003,36.30012435,149.69229825000005,31.05180705000002,20.380195750000006,600.18063355
2009-03-10,2737.7774657,8835.014013650003,35.83416795,148.42047970000004,30.309451600000024,20.368781200000008,602.2064087000001
2009-03-11,2720.1499632499995,8762.107006800003,35.37722585,147.25589840000004,29.537981800000022,20.372834400000006,603.1191772500001
2009-03-12,2706.3699583499997,8706.003002900003,34.947412650000004,146.09603585000002,28.92326840000002,20.444638350000005,606.6538024500002
2009-03-13,2694.9149534499998,8662.096508800003,34.526439800000006,145.15321740000002,28.36006265000002,20.621019750000006,610.5819335500001
2009-03-16,2691.3524534499998,8644.001001,34.26676630000001,144.560418,27.97399250000002,20.845270350000003,614.1514892000002
2009-03-17,2690.6999509999996,8635.442016650002,34.00891240000001,144.1130295,27.694964050000017,21.147949450000006,619.1414123000002
2009-03-18,2691.62745345,8633.517016650001,33.817191050000005,143.82649540000003,27.538880200000015,21.465359450000005,623.8309600000002
2009-03-19,2692.5174436499997,8631.473022500002,33.66117870000001,143.37910695000002,27.43318125000002,21.738953250000005,628.4459960500002
2009-03-20,2696.0474485499994,8637.646508850003,33.50629345,143.14576040000003,27.37585495000002,21.938900900000007,632.2390808000002
